protocol,stormcare_model,baseline,lead_h,stormcare_track_km,baseline_track_km,delta_km,outperforms_baseline,verdict,source_csv,note
Irma/Ian ERA5-complete case study,GNO+DynGNN,Persistence,6,119.69,29.247,90.443,False,not_supported,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Persistence,12,156.353,72.842,83.51100000000001,False,not_supported,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Persistence,24,322.895,197.041,125.85399999999998,False,not_supported,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Persistence,48,598.08,527.727,70.35300000000007,False,not_supported,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,LSTM,6,119.69,83.445,36.245000000000005,False,not_supported,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,LSTM,12,156.353,286.149,-129.796,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,LSTM,24,322.895,442.575,-119.68,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,LSTM,48,598.08,873.994,-275.914,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Transformer,6,119.69,170.14,-50.44999999999999,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Transformer,12,156.353,211.689,-55.335999999999984,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Transformer,24,322.895,381.798,-58.90300000000002,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,Transformer,48,598.08,611.512,-13.431999999999903,True,supported_win,tables/table_case_study_track_error.csv,Comparable within this small window-level case study only.
Irma/Ian ERA5-complete case study,GNO+DynGNN,CLIPER,all,,,,,not_evaluated,tables/table_case_study_track_error.csv,CLIPER was not generated for the Irma/Ian ERA5-complete case-study split.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,6,,37.4,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is Persistence.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,12,,92.1,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is Persistence.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,24,,224.8,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is CLIPER.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,48,,511.3,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is CLIPER.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,72,,818.8,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is CLIPER.
Storm-level HURDAT2 2020-2024 test split,not_evaluated,Persistence_vs_CLIPER,120,,1503.9,,,no_stormcare_row,tables/table1_track_error_vs_baselines.csv,No STORM-CARE neural forecast is evaluated under this protocol; best baseline is CLIPER.
Cross-protocol context only,Foundation demo checkpoint,Persistence,6,143.404,37.4,106.00399999999999,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,Persistence,12,287.998,92.1,195.898,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,Persistence,24,582.069,232.4,349.669,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,Persistence,48,1125.259,564.0,561.259,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,Persistence,72,1566.382,926.2,640.182,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,Persistence,120,2326.379,1707.7,618.6789999999999,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,6,143.404,45.3,98.104,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,12,287.998,98.9,189.09799999999998,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,24,582.069,224.8,357.26899999999995,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,48,1125.259,511.3,613.9590000000001,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,72,1566.382,818.8,747.5820000000001,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
Cross-protocol context only,Foundation demo checkpoint,CLIPER,120,2326.379,1503.9,822.4789999999998,False,not_comparable,tables/table_foundation_model_training.csv; tables/table1_track_error_vs_baselines.csv,Foundation metrics are a short validation-demo rerun; Persistence/CLIPER are storm-level test metrics.
